name,value,year,lastValue,rank
BTC,2513.779140,2018.01,1851.220390,1
BTC,1873.189962,2018.03,1487.252838,1
BTC,1851.220390,2017.12,1179.333808,1
BTC,1571.198548,2018.05,1201.019329,1
BTC,1487.252838,2018.02,2513.779140,1
BTC,1304.815260,2018.06,1571.198548,1
BTC,1300.520668,2018.08,1132.888325,1
BTC,1254.277800,2018.09,1300.520668,1
BTC,1201.019329,2018.04,1873.189962,1
BTC,1179.333808,2017.11,731.956468,1
BTC,1134.310198,2018.10,1254.277800,1
BTC,1132.888325,2018.07,1304.815260,1
BTC,1108.802370,2018.11,1134.310198,1
XRP,961.079445,2018.01,98.678344,3
ETH,891.739621,2018.02,855.529841,2
ETH,855.529841,2018.01,445.358639,2
ETH,839.256900,2018.03,891.739621,2
BTC,757.341150,2017.09,446.846495,1
BTC,731.956468,2017.10,757.341150,1
BTC,720.504875,2018.12,1108.802370,1
BTC,688.498567,2019.01,720.504875,1
ETH,681.599793,2018.05,380.932778,2
BTC,678.882554,2019.03,616.751191,1
BTC,616.751191,2019.02,688.498567,1
ETH,590.808801,2018.06,681.599793,2
ETH,477.477440,2018.07,590.808801,2
BCH,457.898066,2018.01,241.571529,6
BTC,446.846495,2017.08,411.670152,1
ETH,445.358639,2017.12,274.454424,2
ETH,417.091836,2018.08,477.477440,2
BTC,411.670152,2017.07,407.324918,1
BTC,407.324918,2017.06,236.914437,1
ETH,380.932778,2018.04,839.256900,2
XRP,355.793098,2018.03,345.147300,3
XRP,345.147300,2018.02,961.079445,3
XRP,336.368385,2018.05,195.741573,3
ETH,329.422507,2017.09,206.187469,2
ETH,299.427182,2018.09,417.091836,2
ETH,282.377637,2017.10,329.422507,2
ETH,274.454424,2017.11,282.377637,2
ETH,267.762440,2017.07,206.221623,2
XRP,252.499990,2018.06,336.368385,3
BCH,249.537031,2018.05,113.016218,6
BCH,241.571529,2017.12,98.381559,6
BTC,236.914437,2017.05,179.119158,1
ETH,232.474035,2018.10,299.427182,2
BCH,216.735650,2018.03,201.851478,6
XRP,207.998394,2018.10,135.810894,3
ETH,206.576297,2018.11,232.474035,2
ETH,206.221623,2017.06,70.509417,2
ETH,206.187469,2017.08,267.762440,2
ADA,202.901884,2018.01,34.314737,11
BTC,202.585432,2017.03,163.316156,1
BCH,201.851478,2018.02,457.898066,6
XRP,195.741573,2018.04,355.793098,3
XRP,190.861693,2018.07,252.499990,3
BCH,186.172249,2018.06,249.537031,6
XRP,184.416662,2018.11,207.998394,3
BTC,179.119158,2017.04,202.585432,1
XRP,169.157301,2018.08,190.861693,3
BTC,164.290248,2017.01,124.629352,1
BTC,163.316156,2017.02,164.290248,1
ETH,161.500499,2019.01,120.537705,2
EOS,159.611455,2018.05,45.181284,5
XRP,153.076916,2019.01,148.254289,3
XRP,148.254289,2018.12,184.416662,3
ETH,141.036984,2019.03,115.607656,2
LTC,139.571972,2018.01,54.251722,4
XRP,135.810894,2018.09,169.157301,3
BCH,133.626773,2018.07,186.172249,6
EOS,132.058193,2018.06,159.611455,5
XRP,130.563300,2019.03,127.982261,3
XRP,127.982261,2019.02,153.076916,3
BCH,126.903809,2018.08,133.626773,6
BTC,124.629352,2016.12,118.201104,1
ETH,120.537705,2018.12,206.576297,2
BTC,118.201104,2016.11,97.137766,1
LTC,117.868643,2018.03,72.311801,4
XRP,117.196758,2017.06,20.423069,3
ETH,115.607656,2019.02,161.500499,2
BCH,113.016218,2018.04,216.735650,6
BCH,111.914292,2018.09,126.903809,6
MIOTA,111.074199,2018.01,39.890429,13
BTC,110.661714,2016.07,83.995989,1
XEM,104.416200,2018.01,22.708980,18
BTC,101.900387,2014.02,97.810739,1
ADA,101.254026,2018.02,202.901884,11
XLM,100.963959,2018.01,16.664451,8
XRP,99.346623,2017.07,117.196758,3
XRP,98.678344,2017.12,79.321411,3
BCH,98.381559,2017.11,70.123889,6
BTC,97.810739,2014.01,92.171680,1
BTC,97.137766,2016.10,91.201596,1
ADA,96.557596,2018.05,40.546049,11
BCH,95.353894,2017.09,74.607719,6
DASH,94.918703,2018.01,60.128864,14
BCH,92.687190,2018.10,111.914292,6
BTC,91.201596,2016.09,86.448643,1
XRP,86.913603,2017.09,66.359563,3
BTC,86.448643,2016.08,110.661714,1
LTC,85.420442,2018.05,66.703292,4
BTC,84.875870,2014.06,57.166259,1
BTC,84.441950,2014.07,84.875870,1
BTC,83.995989,2016.06,68.917914,1
XLM,81.572799,2018.05,41.716217,8
NEO,80.754700,2018.03,78.081900,16
BCH,80.559355,2018.11,92.687190,6
EOS,79.640716,2018.07,132.058193,5
XRP,79.321411,2017.11,77.713765,3
NEO,78.081900,2018.02,58.711770,16
XRP,77.713765,2017.10,86.913603,3
BTC,77.161812,2014.08,84.441950,1
ADA,76.096989,2018.03,101.254026,11
