name,value,year,lastValue,rank
XRP,961.079445,2018.01,98.678344,2
ETH,891.739621,2018.02,855.529841,1
ETH,855.529841,2018.01,445.358639,1
ETH,839.256900,2018.03,891.739621,1
ETH,681.599793,2018.05,380.932778,1
ETH,590.808801,2018.06,681.599793,1
ETH,477.477440,2018.07,590.808801,1
BCH,457.898066,2018.01,241.571529,5
ETH,445.358639,2017.12,274.454424,1
ETH,417.091836,2018.08,477.477440,1
ETH,380.932778,2018.04,839.256900,1
XRP,355.793098,2018.03,345.147300,2
XRP,345.147300,2018.02,961.079445,2
XRP,336.368385,2018.05,195.741573,2
ETH,329.422507,2017.09,206.187469,1
ETH,299.427182,2018.09,417.091836,1
ETH,282.377637,2017.10,329.422507,1
ETH,274.454424,2017.11,282.377637,1
ETH,267.762440,2017.07,206.221623,1
XRP,252.499990,2018.06,336.368385,2
BCH,249.537031,2018.05,113.016218,5
BCH,241.571529,2017.12,98.381559,5
ETH,232.474035,2018.10,299.427182,1
BCH,216.735650,2018.03,201.851478,5
XRP,207.998394,2018.10,135.810894,2
ETH,206.576297,2018.11,232.474035,1
ETH,206.221623,2017.06,70.509417,1
ETH,206.187469,2017.08,267.762440,1
ADA,202.901884,2018.01,34.314737,10
BCH,201.851478,2018.02,457.898066,5
XRP,195.741573,2018.04,355.793098,2
XRP,190.861693,2018.07,252.499990,2
BCH,186.172249,2018.06,249.537031,5
XRP,184.416662,2018.11,207.998394,2
XRP,169.157301,2018.08,190.861693,2
ETH,161.500499,2019.01,120.537705,1
EOS,159.611455,2018.05,45.181284,4
XRP,153.076916,2019.01,148.254289,2
XRP,148.254289,2018.12,184.416662,2
ETH,141.036984,2019.03,115.607656,1
LTC,139.571972,2018.01,54.251722,3
XRP,135.810894,2018.09,169.157301,2
BCH,133.626773,2018.07,186.172249,5
EOS,132.058193,2018.06,159.611455,4
XRP,130.563300,2019.03,127.982261,2
XRP,127.982261,2019.02,153.076916,2
BCH,126.903809,2018.08,133.626773,5
ETH,120.537705,2018.12,206.576297,1
LTC,117.868643,2018.03,72.311801,3
XRP,117.196758,2017.06,20.423069,2
ETH,115.607656,2019.02,161.500499,1
BCH,113.016218,2018.04,216.735650,5
BCH,111.914292,2018.09,126.903809,5
MIOTA,111.074199,2018.01,39.890429,12
XEM,104.416200,2018.01,22.708980,17
ADA,101.254026,2018.02,202.901884,10
XLM,100.963959,2018.01,16.664451,7
XRP,99.346623,2017.07,117.196758,2
XRP,98.678344,2017.12,79.321411,2
BCH,98.381559,2017.11,70.123889,5
ADA,96.557596,2018.05,40.546049,10
BCH,95.353894,2017.09,74.607719,5
DASH,94.918703,2018.01,60.128864,13
BCH,92.687190,2018.10,111.914292,5
XRP,86.913603,2017.09,66.359563,2
LTC,85.420442,2018.05,66.703292,3
XLM,81.572799,2018.05,41.716217,7
NEO,80.754700,2018.03,78.081900,15
BCH,80.559355,2018.11,92.687190,5
EOS,79.640716,2018.07,132.058193,4
XRP,79.321411,2017.11,77.713765,2
NEO,78.081900,2018.02,58.711770,15
XRP,77.713765,2017.10,86.913603,2
ADA,76.096989,2018.03,101.254026,10
XLM,74.660312,2018.02,100.963959,7
LTC,72.311801,2018.02,139.571972,3
ETH,70.509417,2017.05,44.044754,1
BCH,70.123889,2017.10,95.353894,5
LTC,70.046943,2018.06,85.420442,3
LTC,66.703292,2018.04,117.868643,3
XRP,66.359563,2017.08,99.346623,2
EOS,63.947102,2018.08,79.640716,4
EOS,62.976743,2018.02,54.062509,4
MIOTA,62.770410,2018.05,28.757854,12
DASH,60.128864,2017.12,20.320037,13
TRX,60.091736,2018.05,23.508266,9
EOS,59.804656,2018.09,63.947102,4
XMR,59.643997,2018.01,31.325760,11
XLM,59.117729,2018.03,74.660312,7
ADA,59.046829,2018.06,96.557596,10
NEO,58.711770,2018.01,22.795240,15
EOS,56.920330,2018.03,62.976743,4
XLM,55.443370,2018.06,81.572799,7
NEO,55.113370,2018.05,31.732545,16
XMR,54.401605,2018.03,36.938621,11
LTC,54.251722,2017.12,29.367961,3
EOS,54.062509,2018.01,20.141988,4
MIOTA,53.262193,2018.03,50.252518,12
