name,value,year,lastValue,rank
BTC,251377.913955,2018.01,185122.039035,1
BTC,187318.996197,2018.03,148725.283812,1
BTC,185122.039035,2017.12,117933.380780,1
BTC,157119.854754,2018.05,120101.932910,1
BTC,148725.283812,2018.02,251377.913955,1
BTC,130481.526036,2018.06,157119.854754,1
BTC,130052.066760,2018.08,113288.832522,1
BTC,125427.780027,2018.09,130052.066760,1
BTC,120101.932910,2018.04,187318.996197,1
BTC,117933.380780,2017.11,73195.646776,1
BTC,113431.019760,2018.10,125427.780027,1
BTC,113288.832522,2018.07,130481.526036,1
BTC,110880.236966,2018.11,113431.019760,1
XRP,96107.944451,2018.01,9867.834407,3
ETH,89173.962074,2018.02,85552.984076,2
ETH,85552.984076,2018.01,44535.863933,2
ETH,83925.690001,2018.03,89173.962074,2
BTC,75734.114962,2017.09,44684.649516,1
BTC,73195.646776,2017.10,75734.114962,1
BTC,72050.487506,2018.12,110880.236966,1
BTC,68849.856732,2019.01,72050.487506,1
ETH,68159.979253,2018.05,38093.277842,2
BTC,67888.255371,2019.03,61675.119055,1
BTC,61675.119055,2019.02,68849.856732,1
ETH,59080.880117,2018.06,68159.979253,2
ETH,47747.743959,2018.07,59080.880117,2
BCH,45789.806625,2018.01,24157.152873,6
BTC,44684.649516,2017.08,41167.015221,1
ETH,44535.863933,2017.12,27445.442368,2
ETH,41709.183608,2018.08,47747.743959,2
BTC,41167.015221,2017.07,40732.491835,1
BTC,40732.491835,2017.06,23691.443738,1
ETH,38093.277842,2018.04,83925.690001,2
XRP,35579.309844,2018.03,34514.730026,3
XRP,34514.730026,2018.02,96107.944451,3
XRP,33636.838508,2018.05,19574.157342,3
ETH,32942.250738,2017.09,20618.746852,2
ETH,29942.718225,2018.09,41709.183608,2
ETH,28237.763674,2017.10,32942.250738,2
ETH,27445.442368,2017.11,28237.763674,2
ETH,26776.243984,2017.07,20622.162299,2
XRP,25249.999048,2018.06,33636.838508,3
BCH,24953.703084,2018.05,11301.621765,6
BCH,24157.152873,2017.12,9838.155902,6
BTC,23691.443738,2017.05,17911.915755,1
ETH,23247.403474,2018.10,29942.718225,2
BCH,21673.564990,2018.03,20185.147776,6
XRP,20799.839394,2018.10,13581.089397,3
ETH,20657.629735,2018.11,23247.403474,2
ETH,20622.162299,2017.06,7050.941746,2
ETH,20618.746852,2017.08,26776.243984,2
ADA,20290.188351,2018.01,3431.473713,11
BTC,20258.543187,2017.03,16331.615570,1
BCH,20185.147776,2018.02,45789.806625,6
XRP,19574.157342,2018.04,35579.309844,3
XRP,19086.169278,2018.07,25249.999048,3
BCH,18617.224876,2018.06,24953.703084,6
XRP,18441.666174,2018.11,20799.839394,3
BTC,17911.915755,2017.04,20258.543187,1
XRP,16915.730078,2018.08,19086.169278,3
BTC,16429.024775,2017.01,12462.935160,1
BTC,16331.615570,2017.02,16429.024775,1
ETH,16150.049902,2019.01,12053.770487,2
EOS,15961.145534,2018.05,4518.128380,5
XRP,15307.691624,2019.01,14825.428858,3
XRP,14825.428858,2018.12,18441.666174,3
ETH,14103.698392,2019.03,11560.765573,2
LTC,13957.197179,2018.01,5425.172171,4
XRP,13581.089397,2018.09,16915.730078,3
BCH,13362.677311,2018.07,18617.224876,6
EOS,13205.819325,2018.06,15961.145534,5
XRP,13056.329959,2019.03,12798.226062,3
XRP,12798.226062,2019.02,15307.691624,3
BCH,12690.380884,2018.08,13362.677311,6
BTC,12462.935160,2016.12,11820.110421,1
ETH,12053.770487,2018.12,20657.629735,2
BTC,11820.110421,2016.11,9713.776587,1
LTC,11786.864287,2018.03,7231.180059,4
XRP,11719.675781,2017.06,2042.306875,3
ETH,11560.765573,2019.02,16150.049902,2
BCH,11301.621765,2018.04,21673.564990,6
BCH,11191.429185,2018.09,12690.380884,6
MIOTA,11107.419940,2018.01,3989.042886,13
BTC,11066.171356,2016.07,8399.598923,1
XEM,10441.619999,2018.01,2270.898000,18
BTC,10190.038654,2014.02,9781.073921,1
ADA,10125.402566,2018.02,20290.188351,11
XLM,10096.395937,2018.01,1666.445145,8
XRP,9934.662271,2017.07,11719.675781,3
XRP,9867.834407,2017.12,7932.141134,3
BCH,9838.155902,2017.11,7012.388892,6
BTC,9781.073921,2014.01,9217.167990,1
BTC,9713.776587,2016.10,9120.159589,1
ADA,9655.759610,2018.05,4054.604926,11
BCH,9535.389383,2017.09,7460.771889,6
DASH,9491.870286,2018.01,6012.886394,14
BCH,9268.718960,2018.10,11191.429185,6
BTC,9120.159589,2016.09,8644.864335,1
XRP,8691.360296,2017.09,6635.956326,3
BTC,8644.864335,2016.08,11066.171356,1
LTC,8542.044175,2018.05,6670.329213,4
BTC,8487.587033,2014.06,5716.625927,1
BTC,8444.194978,2014.07,8487.587033,1
BTC,8399.598923,2016.06,6891.791430,1
XLM,8157.279931,2018.05,4171.621676,8
NEO,8075.470000,2018.03,7808.190000,16
BCH,8055.935542,2018.11,9268.718960,6
EOS,7964.071575,2018.07,13205.819325,5
XRP,7932.141134,2017.11,7771.376497,3
NEO,7808.190000,2018.02,5871.177000,16
XRP,7771.376497,2017.10,8691.360296,3
BTC,7716.181169,2014.08,8444.194978,1
ADA,7609.698911,2018.03,10125.402566,11
XLM,7466.031202,2018.02,10096.395937,8
LTC,7231.180059,2018.02,13957.197179,4
ETH,7050.941746,2017.05,4404.475423,2
BCH,7012.388892,2017.10,9535.389383,6
LTC,7004.694349,2018.06,8542.044175,4
BTC,6978.524072,2014.03,10190.038654,1
BTC,6891.791430,2016.05,6475.857111,1
LTC,6670.329213,2018.04,11786.864287,4
XRP,6635.956326,2017.08,9934.662271,3
BTC,6517.390487,2016.01,5355.891235,1
BTC,6475.857111,2016.04,6475.329604,1
BTC,6475.329604,2016.03,5676.528707,1
EOS,6394.710236,2018.08,7964.071575,5
BTC,6311.703012,2014.09,7716.181169,1
EOS,6297.674345,2018.02,5406.250924,5
MIOTA,6277.041033,2018.05,2875.785417,13
DASH,6012.886394,2017.12,2032.003705,14
TRX,6009.173585,2018.05,2350.826622,10
EOS,5980.465593,2018.09,6394.710236,5
XMR,5964.399705,2018.01,3132.576041,12
XLM,5911.772933,2018.03,7466.031202,8
ADA,5904.682898,2018.06,9655.759610,11
NEO,5871.177000,2018.01,2279.524000,16
BTC,5716.625927,2014.05,5506.313796,1
EOS,5692.032956,2018.03,6297.674345,5
BTC,5676.528707,2016.02,6517.390487,1
XLM,5544.337025,2018.06,8157.279931,8
NEO,5511.337000,2018.05,3173.254500,17
BTC,5506.313796,2014.04,6978.524072,1
XMR,5440.160528,2018.03,3693.862145,12
LTC,5425.172171,2017.12,2936.796129,4
EOS,5406.250924,2018.01,2014.198808,5
BTC,5355.891235,2015.12,5343.556482,1
BTC,5343.556482,2015.11,3483.431578,1
MIOTA,5326.219314,2018.03,5025.251775,13
MIOTA,5269.350125,2018.06,6277.041033,13
XEM,5243.867999,2018.02,10441.619999,18
TRX,5173.179556,2018.01,136.282196,10
BTC,5172.928823,2014.12,4385.292372,1
EOS,5117.140244,2018.10,5980.465593,5
MIOTA,5025.251775,2018.02,11107.419940,13
BTC,5003.085408,2014.10,6311.703012,1
XLM,4902.642206,2018.08,3998.817371,8
LTC,4879.760110,2018.07,7004.694349,4
EOS,4853.450102,2018.11,5117.140244,5
DASH,4778.426498,2018.03,4613.447372,14
XLM,4665.414407,2018.10,4219.197140,8
BTG,4638.801962,2018.01,4989.928184,24
DASH,4613.447372,2018.02,9491.870286,14
EOS,4518.128380,2018.04,5692.032956,5
NANO,4490.773818,2018.01,31.692306,38
QTUM,4479.559266,2018.01,958.332310,25
XLM,4430.389054,2018.11,4665.414407,8
ETH,4404.475423,2017.04,1701.011948,2
LTC,4391.532339,2018.08,4879.760110,4
BTC,4385.292372,2014.11,5003.085408,1
BTC,4309.551126,2015.01,5172.928823,1
XLM,4219.197140,2018.09,4902.642206,8
XLM,4171.621676,2018.04,5911.772933,8
LTC,4168.935431,2017.09,2203.009837,4
ADA,4103.684871,2018.07,5904.682898,11
BTC,4084.832103,2015.08,3662.295200,1
