name,value,year,lastValue,rank
BTC,11.400327,2018.01,11.267458,1
BTC,11.272582,2018.03,11.172385,1
BTC,11.267458,2017.12,11.071637,1
BTC,11.196231,2018.05,11.079550,1
BTC,11.172385,2018.02,11.400327,1
BTC,11.115549,2018.06,11.196231,1
BTC,11.114117,2018.08,11.054187,1
BTC,11.098394,2018.09,11.114117,1
BTC,11.079550,2018.04,11.272582,1
BTC,11.071637,2017.11,10.864485,1
BTC,11.054732,2018.10,11.098394,1
BTC,11.054187,2018.07,11.115549,1
BTC,11.044854,2018.11,11.054732,1
XRP,10.982759,2018.01,9.994222,3
ETH,10.950238,2018.02,10.932235,2
ETH,10.932235,2018.01,10.648710,2
ETH,10.923895,2018.03,10.950238,2
BTC,10.879292,2017.09,10.650158,1
BTC,10.864485,2017.10,10.879292,1
BTC,10.857637,2018.12,11.044854,1
BTC,10.837903,2019.01,10.857637,1
ETH,10.833529,2018.05,10.580848,2
BTC,10.831795,2019.03,10.790110,1
BTC,10.790110,2019.02,10.837903,1
ETH,10.771447,2018.06,10.833529,2
ETH,10.678953,2018.07,10.771447,2
BCH,10.660769,2018.01,10.383046,6
BTC,10.650158,2017.08,10.614549,1
ETH,10.648710,2017.12,10.438470,2
ETH,10.620232,2018.08,10.678953,2
BTC,10.614549,2017.07,10.609941,1
BTC,10.609941,2017.06,10.374592,1
ETH,10.580848,2018.04,10.923895,2
XRP,10.551198,2018.03,10.538004,3
XRP,10.538004,2018.02,10.982759,3
XRP,10.526815,2018.05,10.291683,3
ETH,10.517753,2017.09,10.314262,2
ETH,10.476291,2018.09,10.620232,2
ETH,10.450830,2017.10,10.517753,2
ETH,10.438470,2017.11,10.450830,2
ETH,10.427750,2017.07,10.314334,2
XRP,10.402261,2018.06,10.526815,3
BCH,10.397135,2018.05,10.053141,6
BCH,10.383046,2017.12,9.992914,6
BTC,10.374592,2017.05,10.253142,1
ETH,10.366374,2018.10,10.476291,2
BCH,10.335930,2018.03,10.305032,6
XRP,10.318060,2018.10,10.132935,3
ETH,10.315080,2018.11,10.366374,2
ETH,10.314334,2017.06,9.848247,2
ETH,10.314262,2017.08,10.427750,2
ADA,10.307286,2018.01,9.535481,11
BTC,10.306608,2017.03,10.213029,1
BCH,10.305032,2018.02,10.660769,6
XRP,10.291683,2018.04,10.551198,3
XRP,10.280719,2018.07,10.402261,3
BCH,10.269915,2018.06,10.397135,6
XRP,10.265800,2018.11,10.318060,3
BTC,10.253142,2017.04,10.306608,1
XRP,10.228291,2018.08,10.280719,3
BTC,10.215612,2017.01,10.095620,1
BTC,10.213029,2017.02,10.215612,1
ETH,10.208174,2019.01,10.081123,2
EOS,10.203064,2018.05,9.654959,5
XRP,10.184910,2019.01,10.171007,3
XRP,10.171007,2018.12,10.265800,3
ETH,10.149333,2019.03,10.062987,2
LTC,10.144798,2018.01,9.734414,4
XRP,10.132935,2018.09,10.228291,3
BCH,10.125893,2018.07,10.269915,6
EOS,10.120765,2018.06,10.203064,5
