name,value,year,lastValue,rank
BTC,5400.327118,2018.01,5267.458125,1
BTC,5272.581822,2018.03,5172.384806,1
BTC,5267.458125,2017.12,5071.636749,1
BTC,5196.231069,2018.05,5079.549997,1
BTC,5172.384806,2018.02,5400.327118,1
BTC,5115.549027,2018.06,5196.231069,1
BTC,5114.117258,2018.08,5054.187101,1
BTC,5098.393736,2018.09,5114.117258,1
BTC,5079.549997,2018.04,5272.581822,1
BTC,5071.636749,2017.11,4864.485253,1
BTC,5054.731836,2018.10,5098.393736,1
BTC,5054.187101,2018.07,5115.549027,1
BTC,5044.854145,2018.11,5054.731836,1
XRP,4982.759289,2018.01,3994.221853,3
ETH,4950.238063,2018.02,4932.235162,2
ETH,4932.235162,2018.01,4648.709881,2
ETH,4923.894921,2018.03,4950.238063,2
BTC,4879.291555,2017.09,4650.158356,1
BTC,4864.485253,2017.10,4879.291555,1
BTC,4857.636924,2018.12,5044.854145,1
BTC,4837.903041,2019.01,4857.636924,1
ETH,4833.529450,2018.05,4580.848344,2
BTC,4831.794648,2019.03,4790.109997,1
BTC,4790.109997,2019.02,4837.903041,1
ETH,4771.446956,2018.06,4833.529450,2
ETH,4678.952856,2018.07,4771.446956,2
BCH,4660.768809,2018.01,4383.045748,6
BTC,4650.158356,2017.08,4614.549380,1
ETH,4648.709881,2017.12,4438.470235,2
ETH,4620.231689,2018.08,4678.952856,2
BTC,4614.549380,2017.07,4609.940979,1
BTC,4609.940979,2017.06,4374.591527,1
ETH,4580.848344,2018.04,4923.894921,2
XRP,4551.197520,2018.03,4538.004481,3
XRP,4538.004481,2018.02,4982.759289,3
XRP,4526.815170,2018.05,4291.683075,3
ETH,4517.753268,2017.09,4314.262267,2
ETH,4476.291223,2018.09,4620.231689,2
ETH,4450.830299,2017.10,4517.753268,2
ETH,4438.470235,2017.11,4450.830299,2
ETH,4427.749657,2017.07,4314.334200,2
XRP,4402.261366,2018.06,4526.815170,3
BCH,4397.135003,2018.05,4053.140769,6
BCH,4383.045748,2017.12,3992.913700,6
BTC,4374.591527,2017.05,4253.142038,1
ETH,4366.374453,2018.10,4476.291223,2
BCH,4335.930352,2018.03,4305.031933,6
XRP,4318.059982,2018.10,4132.934608,3
ETH,4315.080489,2018.11,4366.374453,2
ETH,4314.334200,2017.06,3848.247127,2
ETH,4314.262267,2017.08,4427.749657,2
ADA,4307.286079,2018.01,3535.480676,11
BTC,4306.608212,2017.03,4213.029149,1
BCH,4305.031933,2018.02,4660.768809,6
XRP,4291.683075,2018.04,4551.197520,3
XRP,4280.718771,2018.07,4402.261366,3
BCH,4269.914945,2018.06,4397.135003,6
XRP,4265.800156,2018.11,4318.059982,3
BTC,4253.142038,2017.04,4306.608212,1
XRP,4228.290747,2018.08,4280.718771,3
BTC,4215.611785,2017.01,4095.620336,1
BTC,4213.029149,2017.02,4215.611785,1
ETH,4208.173869,2019.01,4081.122918,2
EOS,4203.064058,2018.05,3654.958567,5
XRP,4184.909705,2019.01,4171.007265,3
XRP,4171.007265,2018.12,4265.800156,3
ETH,4149.333012,2019.03,4062.986595,2
LTC,4144.798214,2018.01,3734.413525,4
XRP,4132.934608,2018.09,4228.290747,3
BCH,4125.893481,2018.07,4269.914945,6
EOS,4120.765351,2018.06,4203.064058,5
XRP,4115.821117,2019.03,4107.149777,3
XRP,4107.149777,2019.02,4184.909705,3
BCH,4103.474657,2018.08,4125.893481,6
BTC,4095.620336,2016.12,4072.621534,1
ETH,4081.122918,2018.12,4315.080489,2
BTC,4072.621534,2016.11,3987.388111,1
LTC,4071.398283,2018.03,3859.209176,4
XRP,4068.915597,2017.06,3310.120999,3
ETH,4062.986595,2019.02,4208.173869,2
BCH,4053.140769,2018.04,4335.930352,6
BCH,4048.885551,2018.09,4103.474657,6
MIOTA,4045.613192,2018.01,3600.868705,13
BTC,4043.997391,2016.07,3924.258549,1
XEM,4018.767884,2018.01,3356.197628,18
BTC,4008.175831,2014.02,3990.386541,1
ADA,4005.412299,2018.02,4307.286079,11
XLM,4004.166373,2018.01,3221.791022,8
XRP,3997.153108,2017.07,4068.915597,3
XRP,3994.221853,2017.12,3899.390433,3
BCH,3992.913700,2017.11,3845.865993,6
BTC,3990.386541,2014.01,3964.597503,1
BTC,3987.388111,2016.10,3960.002438,1
ADA,3984.786445,2018.05,3607.948544,11
BCH,3979.338432,2017.09,3872.783762,6
DASH,3977.351795,2018.01,3779.082998,14
BCH,3967.019714,2018.10,4048.885551,6
BTC,3960.002438,2016.09,3936.758182,1
XRP,3939.087754,2017.09,3821.903519,3
BTC,3936.758182,2016.08,4043.997391,1
LTC,3931.561813,2018.05,3824.147269,4
BTC,3928.784241,2014.06,3757.139775,1
BTC,3926.558253,2014.07,3928.784241,1
BTC,3924.258549,2016.06,3838.332126,1
XLM,3911.545366,2018.05,3620.304915,8
NEO,3907.167808,2018.03,3892.550373,16
BCH,3906.115983,2018.11,3967.019714,6
EOS,3901.135155,2018.07,4120.765351,5
XRP,3899.390433,2017.11,3890.497950,3
NEO,3892.550373,2018.02,3768.725173,16
XRP,3890.497950,2017.10,3939.087754,3
BTC,3887.402416,2014.08,3926.558253,1
ADA,3881.367474,2018.03,4005.412299,11
XLM,3873.089801,2018.02,4004.166373,8
LTC,3859.209176,2018.02,4144.798214,4
ETH,3848.247127,2017.05,3643.894191,2
BCH,3845.865993,2017.10,3979.338432,6
LTC,3845.389190,2018.06,3931.561813,4
BTC,3843.763581,2014.03,4008.175831,1
BTC,3838.332126,2016.05,3811.297258,1
LTC,3824.147269,2018.04,4071.398283,4
XRP,3821.903519,2017.08,3997.153108,3
BTC,3814.073742,2016.01,3728.831749,1
BTC,3811.297258,2016.04,3811.261880,1
BTC,3811.261880,2016.03,3754.082838,1
EOS,3805.820870,2018.08,3901.135155,5
BTC,3800.146556,2014.09,3887.402416,1
EOS,3799.180199,2018.02,3732.896199,5
MIOTA,3797.754968,2018.05,3458.756477,13
DASH,3779.082998,2017.12,3307.924496,14
TRX,3778.814750,2018.05,3371.220600,10
EOS,3776.734996,2018.09,3805.820870,5
XMR,3775.566740,2018.01,3495.901622,12
XLM,3771.717745,2018.03,3873.089801,8
ADA,3771.196579,2018.06,3984.786445,11
NEO,3768.725173,2018.01,3357.844169,16
BTC,3757.139775,2014.05,3740.860958,1
EOS,3755.267406,2018.03,3799.180199,5
BTC,3754.082838,2016.02,3814.073742,1
XLM,3743.849622,2018.06,3911.545366,8
NEO,3741.256968,2018.05,3501.504905,17
BTC,3740.860958,2014.04,3843.763581,1
XMR,3735.611715,2018.03,3567.480684,12
LTC,3734.413525,2017.12,3467.873799,4
EOS,3732.896199,2018.01,3304.102335,5
BTC,3728.831749,2015.12,3727.830404,1
BTC,3727.830404,2015.11,3542.007285,1
MIOTA,3726.419045,2018.03,3701.157826,13
MIOTA,3721.757056,2018.06,3797.754968,13
XEM,3719.651751,2018.02,4018.767884,18
TRX,3713.757553,2018.01,2134.439123,10
BTC,3713.736503,2014.12,3641.998554,1
EOS,3709.027320,2018.10,3776.734996,5
MIOTA,3701.157826,2018.02,4045.613192,13
BTC,3699.237917,2014.10,3800.146556,1
XLM,3690.430200,2018.08,3601.931570,8
LTC,3688.398473,2018.07,3845.389190,4
EOS,3686.050569,2018.11,3709.027320,5
DASH,3679.284910,2018.03,3664.025571,14
XLM,3668.890226,2018.10,3625.229818,8
BTG,3666.405832,2018.01,3698.094295,24
DASH,3664.025571,2018.02,3977.351795,14
EOS,3654.958567,2018.04,3755.267406,5
NANO,3652.321182,2018.01,1500.953845,38
QTUM,3651.235287,2018.01,2981.516131,25
XLM,3646.441865,2018.11,3668.890226,8
ETH,3643.894191,2017.04,3230.707364,2
LTC,3642.616085,2018.08,3688.398473,4
BTC,3641.998554,2014.11,3699.237917,1
BTC,3634.432037,2015.01,3713.736503,1
XLM,3625.229818,2018.09,3690.430200,8
XLM,3620.304915,2018.04,3771.717745,8
LTC,3620.025169,2017.09,3343.016436,4
ADA,3613.174003,2018.07,3771.196579,11
BTC,3611.174211,2015.08,3563.753348,1
ADA,3607.948544,2018.04,3881.367474,11
TRX,3604.522570,2018.06,3778.814750,10
XLM,3601.931570,2018.07,3743.849622,8
XMR,3601.248059,2018.05,3450.395478,12
MIOTA,3600.868705,2017.12,3007.518940,13
DASH,3588.016640,2018.05,3396.008560,14
BTC,3583.332439,2015.03,3516.640769,1
LTC,3581.563120,2018.09,3642.616085,4
XEM,3578.133461,2018.05,3310.098059,19
XMR,3567.480684,2018.02,3775.566740,12
NEO,3566.987878,2018.06,3741.256968,17
BTC,3563.753348,2015.07,3506.905613,1
XEM,3551.014387,2018.03,3719.651751,18
BTC,3549.612960,2015.04,3583.332439,1
LTC,3543.572236,2018.10,3581.563120,4
BTC,3542.007285,2015.10,3523.799022,1
TRX,3541.721074,2018.03,3428.534401,10
ETC,3537.939688,2018.01,3479.862702,17
ADA,3535.480676,2017.12,2742.253334,11
ADA,3534.133221,2018.08,3613.174003,11
BTC,3523.799022,2015.09,3611.174211,1
BTC,3520.703966,2015.05,3549.612960,1
BTC,3516.640769,2015.02,3634.432037,1
MIOTA,3509.741530,2018.07,3721.757056,13
BTC,3506.905613,2015.06,3520.703966,1
EOS,3503.727167,2019.03,3343.065601,5
NEO,3501.504905,2018.04,3907.167808,17
XMR,3495.901622,2017.12,3107.788345,12
ETC,3489.101874,2018.03,3361.255868,17
XLM,3487.207238,2018.12,3646.441865,8
LTC,3481.192590,2018.11,3543.572236,4
ETC,3479.862702,2017.12,2997.343781,17
BCH,3479.248818,2019.01,3478.594581,6
BCH,3478.594581,2018.12,3906.115983,6
LTC,3473.560014,2019.03,3316.782119,4
LTC,3467.873799,2017.11,3453.283839,4
MIOTA,3458.756477,2018.04,3726.419045,13
LTC,3453.283839,2017.10,3620.025169,4
USDT,3452.705992,2018.09,3383.588407,9
XMR,3450.395478,2018.04,3735.611715,12
USDT,3448.040438,2018.10,3452.705992,9
ADA,3432.587045,2018.09,3534.133221,11
USDT,3432.014958,2018.07,3396.359712,9
TRX,3428.534401,2018.02,3713.757553,10
XEM,3425.363991,2017.09,3296.110123,16
DASH,3421.062886,2017.09,3135.266129,12
XMR,3417.897501,2018.06,3601.248059,12
EOS,3417.787104,2019.01,3411.995632,5
DASH,3415.876781,2018.06,3588.016640,14
TRX,3414.796914,2018.07,3604.522570,10
EOS,3411.995632,2018.12,3686.050569,5
LSK,3408.147021,2018.01,2949.441661,28
LSK,3401.339220,2018.02,3408.147021,28
