name,value,year,lastValue,rank
BTC,26.250223,2018.01,11.267458,1
BTC,25.956079,2018.03,11.172385,1
BTC,25.944281,2017.12,11.071637,1
BTC,25.780275,2018.05,11.079550,1
BTC,25.725367,2018.02,11.400327,1
BTC,25.594497,2018.06,11.196231,1
BTC,25.591201,2018.08,11.054187,1
BTC,25.554996,2018.09,11.114117,1
BTC,25.511607,2018.04,11.272582,1
BTC,25.493386,2017.11,10.864485,1
BTC,25.454461,2018.10,11.098394,1
BTC,25.453206,2018.07,11.115549,1
BTC,25.431717,2018.11,11.054732,1
XRP,25.288738,2018.01,9.994222,3
ETH,25.213855,2018.02,10.932235,2
ETH,25.172402,2018.01,10.648710,2
ETH,25.153198,2018.03,10.950238,2
BTC,25.050495,2017.09,10.650158,1
BTC,25.016402,2017.10,10.879292,1
BTC,25.000633,2018.12,11.044854,1
BTC,24.955194,2019.01,10.857637,1
ETH,24.945123,2018.05,10.580848,2
BTC,24.941129,2019.03,10.790110,1
BTC,24.845146,2019.02,10.837903,1
ETH,24.802173,2018.06,10.833529,2
ETH,24.589198,2018.07,10.771447,2
BCH,24.547327,2018.01,10.383046,6
BTC,24.522896,2017.08,10.614549,1
ETH,24.519561,2017.12,10.438470,2
ETH,24.453987,2018.08,10.678953,2
BTC,24.440903,2017.07,10.609941,1
BTC,24.430292,2017.06,10.374592,1
ETH,24.363304,2018.04,10.923895,2
XRP,24.295030,2018.03,10.538004,3
XRP,24.264652,2018.02,10.982759,3
XRP,24.238888,2018.05,10.291683,3
ETH,24.218022,2017.09,10.314262,2
ETH,24.122552,2018.09,10.620232,2
ETH,24.063926,2017.10,10.517753,2
ETH,24.035466,2017.11,10.450830,2
ETH,24.010781,2017.07,10.314334,2
XRP,23.952092,2018.06,10.526815,3
BCH,23.940288,2018.05,10.053141,6
BCH,23.907846,2017.12,9.992914,6
BTC,23.888380,2017.05,10.253142,1
ETH,23.869459,2018.10,10.476291,2
BCH,23.799359,2018.03,10.305032,6
XRP,23.758211,2018.10,10.132935,3
ETH,23.751351,2018.11,10.366374,2
ETH,23.749632,2017.06,9.848247,2
ETH,23.749467,2017.08,10.427750,2
ADA,23.733403,2018.01,9.535481,11
BTC,23.731842,2017.03,10.213029,1
BCH,23.728213,2018.02,10.660769,6
XRP,23.697476,2018.04,10.551198,3
XRP,23.672230,2018.07,10.402261,3
BCH,23.647353,2018.06,10.397135,6
XRP,23.637878,2018.11,10.318060,3
BTC,23.608732,2017.04,10.306608,1
XRP,23.551510,2018.08,10.280719,3
BTC,23.522315,2017.01,10.095620,1
BTC,23.516369,2017.02,10.215612,1
ETH,23.505189,2019.01,10.081123,2
EOS,23.493423,2018.05,9.654959,5
XRP,23.451621,2019.01,10.171007,3
XRP,23.419610,2018.12,10.265800,3
ETH,23.369703,2019.03,10.062987,2
LTC,23.359261,2018.01,9.734414,4
XRP,23.331944,2018.09,10.228291,3
BCH,23.315731,2018.07,10.269915,6
EOS,23.303923,2018.06,10.203064,5
XRP,23.292539,2019.03,10.107150,3
XRP,23.272572,2019.02,10.184910,3
BCH,23.264110,2018.08,10.125893,6
BTC,23.246025,2016.12,10.072622,1
ETH,23.212643,2018.12,10.315080,2
BTC,23.193068,2016.11,9.987388,1
LTC,23.190252,2018.03,9.859209,4
XRP,23.184535,2017.06,9.310121,3
ETH,23.170883,2019.02,10.208174,2
BCH,23.148212,2018.04,10.335930,6
BCH,23.138414,2018.09,10.103475,6
MIOTA,23.130879,2018.01,9.600869,13
BTC,23.127159,2016.07,9.924259,1
XEM,23.069066,2018.01,9.356198,18
BTC,23.044676,2014.02,9.990387,1
ADA,23.038313,2018.02,10.307286,11
XLM,23.035444,2018.01,9.221791,8
XRP,23.019296,2017.07,10.068916,3
XRP,23.012546,2017.12,9.899390,3
BCH,23.009534,2017.11,9.845866,6
BTC,23.003715,2014.01,9.964598,1
BTC,22.996811,2016.10,9.960002,1
ADA,22.990820,2018.05,9.607949,11
BCH,22.978276,2017.09,9.872784,6
