name,value,year,lastValue,rank
XRP,96107.944451,2018.01,9867.834407,2
ETH,89173.962074,2018.02,85552.984076,1
ETH,85552.984076,2018.01,44535.863933,1
ETH,83925.690001,2018.03,89173.962074,1
ETH,68159.979253,2018.05,38093.277842,1
ETH,59080.880117,2018.06,68159.979253,1
ETH,47747.743959,2018.07,59080.880117,1
BCH,45789.806625,2018.01,24157.152873,5
ETH,44535.863933,2017.12,27445.442368,1
ETH,41709.183608,2018.08,47747.743959,1
ETH,38093.277842,2018.04,83925.690001,1
XRP,35579.309844,2018.03,34514.730026,2
XRP,34514.730026,2018.02,96107.944451,2
XRP,33636.838508,2018.05,19574.157342,2
ETH,32942.250738,2017.09,20618.746852,1
ETH,29942.718225,2018.09,41709.183608,1
ETH,28237.763674,2017.10,32942.250738,1
ETH,27445.442368,2017.11,28237.763674,1
ETH,26776.243984,2017.07,20622.162299,1
XRP,25249.999048,2018.06,33636.838508,2
BCH,24953.703084,2018.05,11301.621765,5
BCH,24157.152873,2017.12,9838.155902,5
ETH,23247.403474,2018.10,29942.718225,1
BCH,21673.564990,2018.03,20185.147776,5
XRP,20799.839394,2018.10,13581.089397,2
ETH,20657.629735,2018.11,23247.403474,1
ETH,20622.162299,2017.06,7050.941746,1
ETH,20618.746852,2017.08,26776.243984,1
ADA,20290.188351,2018.01,3431.473713,10
BCH,20185.147776,2018.02,45789.806625,5
XRP,19574.157342,2018.04,35579.309844,2
XRP,19086.169278,2018.07,25249.999048,2
BCH,18617.224876,2018.06,24953.703084,5
XRP,18441.666174,2018.11,20799.839394,2
XRP,16915.730078,2018.08,19086.169278,2
ETH,16150.049902,2019.01,12053.770487,1
EOS,15961.145534,2018.05,4518.128380,4
XRP,15307.691624,2019.01,14825.428858,2
XRP,14825.428858,2018.12,18441.666174,2
ETH,14103.698392,2019.03,11560.765573,1
LTC,13957.197179,2018.01,5425.172171,3
XRP,13581.089397,2018.09,16915.730078,2
BCH,13362.677311,2018.07,18617.224876,5
EOS,13205.819325,2018.06,15961.145534,4
XRP,13056.329959,2019.03,12798.226062,2
XRP,12798.226062,2019.02,15307.691624,2
BCH,12690.380884,2018.08,13362.677311,5
ETH,12053.770487,2018.12,20657.629735,1
LTC,11786.864287,2018.03,7231.180059,3
XRP,11719.675781,2017.06,2042.306875,2
ETH,11560.765573,2019.02,16150.049902,1
BCH,11301.621765,2018.04,21673.564990,5
BCH,11191.429185,2018.09,12690.380884,5
MIOTA,11107.419940,2018.01,3989.042886,12
XEM,10441.619999,2018.01,2270.898000,17
ADA,10125.402566,2018.02,20290.188351,10
XLM,10096.395937,2018.01,1666.445145,7
XRP,9934.662271,2017.07,11719.675781,2
XRP,9867.834407,2017.12,7932.141134,2
BCH,9838.155902,2017.11,7012.388892,5
ADA,9655.759610,2018.05,4054.604926,10
BCH,9535.389383,2017.09,7460.771889,5
DASH,9491.870286,2018.01,6012.886394,13
BCH,9268.718960,2018.10,11191.429185,5
XRP,8691.360296,2017.09,6635.956326,2
LTC,8542.044175,2018.05,6670.329213,3
XLM,8157.279931,2018.05,4171.621676,7
NEO,8075.470000,2018.03,7808.190000,15
BCH,8055.935542,2018.11,9268.718960,5
EOS,7964.071575,2018.07,13205.819325,4
XRP,7932.141134,2017.11,7771.376497,2
NEO,7808.190000,2018.02,5871.177000,15
XRP,7771.376497,2017.10,8691.360296,2
ADA,7609.698911,2018.03,10125.402566,10
XLM,7466.031202,2018.02,10096.395937,7
LTC,7231.180059,2018.02,13957.197179,3
ETH,7050.941746,2017.05,4404.475423,1
